"Name","Team","AtBat","Hits","Home","Runs","RBI","BB","YrMajor","CrAtBat","CrHits","CrHome","CrRuns","CrRbi","CrBB","League","Division","Position","Outs","Assts","Error","Salary","Div"
"Aldrete, Mike","San Francisco",216.00,54.00,2.00,27.00,25.00,33.00,1.00,216.00,54.00,2.00,27.00,25.00,33.00,"National","West","1O",317.00,36.00,1.00,"75","NW"
"Allanson, Andy","Cleveland",293.00,66.00,1.00,30.00,29.00,14.00,1.00,293.00,66.00,1.00,30.00,29.00,14.00,"American","East","C",446.00,33.00,20.00,"","AE"
"Almon, Bill","Pittsburgh",196.00,43.00,7.00,29.00,27.00,30.00,13.00,3231.00,825.00,36.00,376.00,290.00,238.00,"National","East","UT",80.00,45.00,8.00,"240","NE"
"Anderson, Dave","Los Angeles",216.00,53.00,1.00,31.00,15.00,22.00,4.00,926.00,210.00,9.00,118.00,69.00,114.00,"National","West","3S",73.00,152.00,11.00,"225","NW"
"Armas, Tony","Boston",425.00,112.00,11.00,40.00,58.00,24.00,11.00,4513.00,1134.00,224.00,542.00,727.00,230.00,"American","East","CF",247.00,4.00,8.00,"","AE"
"Ashby, Alan","Houston",315.00,81.00,7.00,24.00,38.00,39.00,14.00,3449.00,835.00,69.00,321.00,414.00,375.00,"National","West","C",632.00,43.00,10.00,"475","NW"
"Backman, Wally","New York",387.00,124.00,1.00,67.00,27.00,36.00,7.00,1775.00,506.00,6.00,272.00,125.00,194.00,"National","East","2B",186.00,290.00,17.00,"550","NE"
"Baines, Harold","Chicago",570.00,169.00,21.00,72.00,88.00,38.00,7.00,3754.00,1077.00,140.00,492.00,589.00,263.00,"American","West","RF",295.00,15.00,5.00,"950","AW"
"Baker, Dusty","Oakland",242.00,58.00,4.00,25.00,19.00,27.00,19.00,7117.00,1981.00,242.00,964.00,1013.00,762.00,"American","West","OF",90.00,4.00,0.00,"","AW"
"Balboni, Steve","Kansas City",512.00,117.00,29.00,54.00,88.00,43.00,6.00,1750.00,412.00,100.00,204.00,276.00,155.00,"American","West","1B",1236.00,98.00,18.00,"100","AW"
"Bando, Chris","Cleveland",254.00,68.00,2.00,28.00,26.00,22.00,6.00,999.00,236.00,21.00,108.00,117.00,118.00,"American","East","C",359.00,30.00,4.00,"305","AE"
"Barfield, Jesse","Toronto",589.00,170.00,40.00,107.00,108.00,69.00,6.00,2325.00,634.00,128.00,371.00,376.00,238.00,"American","East","RF",368.00,20.00,3.00,"1237.5","AE"
"Barrett, Marty","Boston",625.00,179.00,4.00,94.00,60.00,65.00,5.00,1696.00,476.00,12.00,216.00,163.00,166.00,"American","East","2B",303.00,450.00,14.00,"575","AE"
"Bass, Kevin","Houston",591.00,184.00,20.00,83.00,79.00,38.00,5.00,1689.00,462.00,40.00,219.00,195.00,82.00,"National","West","RF",303.00,12.00,5.00,"630","NW"
"Baylor, Don","Boston",585.00,139.00,31.00,93.00,94.00,62.00,17.00,7546.00,1982.00,315.00,1141.00,1179.00,727.00,"American","East","DH",0.00,0.00,0.00,"950","AE"
"Beane, Billy","Minneapolis",183.00,39.00,3.00,20.00,15.00,11.00,3.00,201.00,42.00,3.00,20.00,16.00,11.00,"American","West","OF",118.00,0.00,0.00,"","AW"
"Bell, Buddy","Cincinnati",568.00,158.00,20.00,89.00,75.00,73.00,15.00,8068.00,2273.00,177.00,1045.00,993.00,732.00,"National","West","3B",105.00,290.00,10.00,"775","NW"
"Bell, George","Toronto",641.00,198.00,31.00,101.00,108.00,41.00,5.00,2129.00,610.00,92.00,297.00,319.00,117.00,"American","East","LF",269.00,17.00,10.00,"1175","AE"
"Belliard, Rafael","Pittsburgh",309.00,72.00,0.00,33.00,31.00,26.00,5.00,354.00,82.00,0.00,41.00,32.00,26.00,"National","East","SS",117.00,269.00,12.00,"130","NE"
"Beniquez, Juan","Baltimore",343.00,103.00,6.00,48.00,36.00,40.00,15.00,4338.00,1193.00,70.00,581.00,421.00,325.00,"American","East","UT",211.00,56.00,13.00,"430","AE"
"Bernazard, Tony","Cleveland",562.00,169.00,17.00,88.00,73.00,53.00,8.00,3181.00,841.00,61.00,450.00,342.00,373.00,"American","East","2B",351.00,442.00,17.00,"530","AE"
"Biancalana, Buddy","Kansas City",190.00,46.00,2.00,24.00,8.00,15.00,5.00,479.00,102.00,5.00,65.00,23.00,39.00,"American","West","SS",102.00,177.00,16.00,"175","AW"
"Bilardello, Dann","Montreal",191.00,37.00,4.00,12.00,17.00,14.00,4.00,773.00,163.00,16.00,61.00,74.00,52.00,"National","East","C",391.00,38.00,8.00,"","NE"
"Bochte, Bruce","Oakland",407.00,104.00,6.00,57.00,43.00,65.00,12.00,5233.00,1478.00,100.00,643.00,658.00,653.00,"American","West","1B",912.00,88.00,9.00,"","AW"
"Bochy, Bruce","San Diego",127.00,32.00,8.00,16.00,22.00,14.00,8.00,727.00,180.00,24.00,67.00,82.00,56.00,"National","West","C",202.00,22.00,2.00,"135","NW"
"Boggs, Wade","Boston",580.00,207.00,8.00,107.00,71.00,105.00,5.00,2778.00,978.00,32.00,474.00,322.00,417.00,"American","East","3B",121.00,267.00,19.00,"1600","AE"
"Bonds, Barry","Pittsburgh",413.00,92.00,16.00,72.00,48.00,65.00,1.00,413.00,92.00,16.00,72.00,48.00,65.00,"National","East","CF",280.00,9.00,5.00,"100","NE"
"Bonilla, Bobby","Chicago",426.00,109.00,3.00,55.00,43.00,62.00,1.00,426.00,109.00,3.00,55.00,43.00,62.00,"American","West","O1",361.00,22.00,2.00,"115","AW"
"Bonilla, Juan","Baltimore",284.00,69.00,1.00,33.00,18.00,25.00,5.00,1407.00,361.00,6.00,139.00,98.00,111.00,"American","East","2B",122.00,140.00,5.00,"","AE"
"Boone, Bob","California",442.00,98.00,7.00,48.00,49.00,43.00,15.00,5982.00,1501.00,96.00,555.00,702.00,533.00,"American","West","C",812.00,84.00,11.00,"","AW"
"Boston, Daryl","Chicago",199.00,53.00,5.00,29.00,22.00,21.00,3.00,514.00,120.00,8.00,57.00,40.00,39.00,"American","West","CF",152.00,3.00,5.00,"75","AW"
"Bradley, Phil","Seattle",526.00,163.00,12.00,88.00,50.00,77.00,4.00,1556.00,470.00,38.00,245.00,167.00,174.00,"American","West","LF",250.00,11.00,1.00,"750","AW"
"Bradley, Scott","Seattle",220.00,66.00,5.00,20.00,28.00,13.00,3.00,290.00,80.00,5.00,27.00,31.00,15.00,"American","West","C",281.00,21.00,3.00,"90","AW"
"Braggs, Glenn","Milwaukee",215.00,51.00,4.00,19.00,18.00,11.00,1.00,215.00,51.00,4.00,19.00,18.00,11.00,"American","East","LF",116.00,5.00,12.00,"70","AE"
"Bream, Sid","Pittsburgh",522.00,140.00,16.00,73.00,77.00,60.00,4.00,730.00,185.00,22.00,93.00,106.00,86.00,"National","East","1B",1320.00,166.00,17.00,"200","NE"
"Brenly, Bob","San Francisco",472.00,116.00,16.00,60.00,62.00,74.00,6.00,1924.00,489.00,67.00,242.00,251.00,240.00,"National","West","C",518.00,55.00,3.00,"600","NW"
"Brett, George","Kansas City",441.00,128.00,16.00,70.00,73.00,80.00,14.00,6675.00,2095.00,209.00,1072.00,1050.00,695.00,"American","West","3B",97.00,218.00,16.00,"1500","AW"
"Brock, Greg","Los Angeles",325.00,76.00,16.00,33.00,52.00,37.00,5.00,1506.00,351.00,71.00,195.00,219.00,214.00,"National","West","1B",726.00,87.00,3.00,"385","NW"
"Brookens, Tom","Detroit",281.00,76.00,3.00,42.00,25.00,20.00,8.00,2658.00,657.00,48.00,324.00,300.00,179.00,"American","East","UT",106.00,144.00,7.00,"341.667","AE"
"Brooks, Hubie","Montreal",306.00,104.00,14.00,50.00,58.00,25.00,7.00,2954.00,822.00,55.00,313.00,377.00,187.00,"National","East","SS",116.00,222.00,15.00,"750","NE"
"Brown, Chris","San Francisco",416.00,132.00,7.00,57.00,49.00,33.00,3.00,932.00,273.00,24.00,113.00,121.00,80.00,"National","West","3B",73.00,177.00,18.00,"215","NW"
"Brown, Mike","Pittsburgh",243.00,53.00,4.00,18.00,26.00,27.00,4.00,853.00,228.00,23.00,101.00,110.00,76.00,"National","East","OF",107.00,3.00,3.00,"","NE"
"Brunansky, Tom","Minneapolis",593.00,152.00,23.00,69.00,75.00,53.00,6.00,2765.00,686.00,133.00,369.00,384.00,321.00,"American","West","RF",315.00,10.00,6.00,"940","AW"
"Buckner, Bill","Boston",629.00,168.00,18.00,73.00,102.00,40.00,18.00,8424.00,2464.00,164.00,1008.00,1072.00,402.00,"American","East","1B",1067.00,157.00,14.00,"776.667","AE"
"Buechele, Steve","Texas",461.00,112.00,18.00,54.00,54.00,35.00,2.00,680.00,160.00,24.00,76.00,75.00,49.00,"American","West","3B",111.00,226.00,11.00,"135","AW"
"Burleson, Rick","California",271.00,77.00,5.00,35.00,29.00,33.00,12.00,4933.00,1358.00,48.00,630.00,435.00,403.00,"American","West","UT",62.00,90.00,3.00,"450","AW"
"Bush, Randy","Minneapolis",357.00,96.00,7.00,50.00,45.00,39.00,5.00,1394.00,344.00,43.00,178.00,192.00,136.00,"American","West","LF",167.00,2.00,4.00,"300","AW"
"Butler, Brett","Cleveland",587.00,163.00,4.00,92.00,51.00,70.00,6.00,2695.00,747.00,17.00,442.00,198.00,317.00,"American","East","CF",434.00,9.00,3.00,"765","AE"
"Cabell, Enos","Los Angeles",277.00,71.00,2.00,27.00,29.00,14.00,15.00,5952.00,1647.00,60.00,753.00,596.00,259.00,"National","West","1B",360.00,32.00,5.00,"","NW"
"Cangelosi, John","Chicago",438.00,103.00,2.00,65.00,32.00,71.00,2.00,440.00,103.00,2.00,67.00,32.00,71.00,"American","West","LF",276.00,7.00,9.00,"100","AW"
"Canseco, Jose","Oakland",600.00,144.00,33.00,85.00,117.00,65.00,2.00,696.00,173.00,38.00,101.00,130.00,69.00,"American","West","LF",319.00,4.00,14.00,"165","AW"
"Carter, Gary","New York",490.00,125.00,24.00,81.00,105.00,62.00,13.00,6063.00,1646.00,271.00,847.00,999.00,680.00,"National","East","C",869.00,62.00,8.00,"1925.571","NE"
"Carter, Joe","Cleveland",663.00,200.00,29.00,108.00,121.00,32.00,4.00,1447.00,404.00,57.00,210.00,222.00,68.00,"American","East","RF",241.00,8.00,6.00,"250","AE"
"Castillo, Carmen","Cleveland",205.00,57.00,8.00,34.00,32.00,9.00,5.00,756.00,192.00,32.00,117.00,107.00,51.00,"American","East","OD",58.00,4.00,4.00,"247.5","AE"
"Cerone, Rick","Milwaukee",216.00,56.00,4.00,22.00,18.00,15.00,12.00,2796.00,665.00,43.00,266.00,304.00,198.00,"American","East","C",391.00,44.00,4.00,"250","AE"
"Cey, Ron","Chicago",256.00,70.00,13.00,42.00,36.00,44.00,16.00,7058.00,1845.00,312.00,965.00,1128.00,990.00,"National","East","3B",41.00,118.00,8.00,"1050","NE"
"Clark, Jack","St Louis",232.00,55.00,9.00,34.00,23.00,45.00,12.00,4405.00,1213.00,194.00,702.00,705.00,625.00,"National","East","1B",623.00,35.00,3.00,"1300","NE"
"Clark, Will","San Francisco",408.00,117.00,11.00,66.00,41.00,34.00,1.00,408.00,117.00,11.00,66.00,41.00,34.00,"National","West","1B",942.00,72.00,11.00,"120","NW"
"Coleman, Vince","St Louis",600.00,139.00,0.00,94.00,29.00,60.00,2.00,1236.00,309.00,1.00,201.00,69.00,110.00,"National","East","LF",300.00,12.00,9.00,"160","NE"
"Coles, Darnell","Detroit",521.00,142.00,20.00,67.00,86.00,45.00,4.00,815.00,205.00,22.00,99.00,103.00,78.00,"American","East","3B",107.00,242.00,23.00,"105","AE"
"Collins, Dave","Detroit",419.00,113.00,1.00,44.00,27.00,44.00,12.00,4484.00,1231.00,32.00,612.00,344.00,422.00,"American","East","LF",211.00,2.00,1.00,"","AE"
"Concepcion, Dave","Cincinnati",311.00,81.00,3.00,42.00,30.00,26.00,17.00,8247.00,2198.00,100.00,950.00,909.00,690.00,"National","West","UT",153.00,223.00,10.00,"320","NW"
"Cooper, Cecil","Milwaukee",542.00,140.00,12.00,46.00,75.00,41.00,16.00,7099.00,2130.00,235.00,987.00,1089.00,431.00,"American","East","1B",697.00,61.00,9.00,"","AE"
"Cruz, Jose","Houston",479.00,133.00,10.00,48.00,72.00,55.00,17.00,7472.00,2147.00,153.00,980.00,1032.00,854.00,"National","West","LF",237.00,5.00,4.00,"773.333","NW"
"Cruz, Julio","Chicago",209.00,45.00,0.00,38.00,19.00,42.00,10.00,3859.00,916.00,23.00,557.00,279.00,478.00,"American","West","2B",132.00,205.00,5.00,"","AW"
"Daniels, Kal","Cincinnati",181.00,58.00,6.00,34.00,23.00,22.00,1.00,181.00,58.00,6.00,34.00,23.00,22.00,"National","West","OF",88.00,0.00,3.00,"86.5","NW"
"Daulton, Darren","Philadelphia",138.00,31.00,8.00,18.00,21.00,38.00,3.00,244.00,53.00,12.00,33.00,32.00,55.00,"National","East","C",244.00,21.00,4.00,"","NE"
"Davis, Alan","Seattle",479.00,130.00,18.00,66.00,72.00,76.00,3.00,1624.00,457.00,63.00,224.00,266.00,263.00,"American","West","1B",880.00,82.00,14.00,"480","AW"
"Davis, Chili","San Francisco",526.00,146.00,13.00,71.00,70.00,84.00,6.00,2648.00,715.00,77.00,352.00,342.00,289.00,"National","West","RF",303.00,9.00,9.00,"815","NW"
"Davis, Eric","Cincinnati",415.00,115.00,27.00,97.00,71.00,68.00,3.00,711.00,184.00,45.00,156.00,119.00,99.00,"National","West","LF",274.00,2.00,7.00,"300","NW"
"Davis, Glenn","Houston",574.00,152.00,31.00,91.00,101.00,64.00,3.00,985.00,260.00,53.00,148.00,173.00,95.00,"National","West","1B",1253.00,111.00,11.00,"215","NW"
"Davis, Jody","Chicago",528.00,132.00,21.00,61.00,74.00,41.00,6.00,2641.00,671.00,97.00,273.00,383.00,226.00,"National","East","C",885.00,105.00,8.00,"1008.333","NE"
"Davis, Mike","Oakland",489.00,131.00,19.00,77.00,55.00,34.00,7.00,2051.00,549.00,62.00,300.00,263.00,153.00,"American","West","RF",310.00,9.00,9.00,"780","AW"
"Dawson, Andre","Montreal",496.00,141.00,20.00,65.00,78.00,37.00,11.00,5628.00,1575.00,225.00,828.00,838.00,354.00,"National","East","RF",200.00,11.00,3.00,"500","NE"
"DeCinces, Doug","California",512.00,131.00,26.00,69.00,96.00,52.00,14.00,5347.00,1397.00,221.00,712.00,815.00,548.00,"American","West","3B",119.00,216.00,12.00,"850","AW"
"Deer, Rob","Milwaukee",466.00,108.00,33.00,75.00,86.00,72.00,3.00,652.00,142.00,44.00,102.00,109.00,102.00,"American","East","RF",286.00,8.00,8.00,"215","AE"
"Dempsey, Rick","Baltimore",327.00,68.00,13.00,42.00,29.00,45.00,18.00,3949.00,939.00,78.00,438.00,380.00,466.00,"American","East","C",659.00,53.00,7.00,"400","AE"
"Dernier, Bob","Chicago",324.00,73.00,4.00,32.00,18.00,22.00,7.00,1931.00,491.00,13.00,291.00,108.00,180.00,"National","East","CF",222.00,3.00,3.00,"708.333","NE"
"Diaz, Bo","Cincinnati",474.00,129.00,10.00,50.00,56.00,40.00,10.00,2331.00,604.00,61.00,246.00,327.00,166.00,"National","West","C",732.00,83.00,13.00,"750","NW"
"Diaz, Mike","Pittsburgh",209.00,56.00,12.00,22.00,36.00,19.00,2.00,216.00,58.00,12.00,24.00,37.00,19.00,"National","East","O1",201.00,6.00,3.00,"90","NE"
"Doran, Bill","Houston",550.00,152.00,6.00,92.00,37.00,81.00,5.00,2308.00,633.00,32.00,349.00,182.00,308.00,"National","West","2B",262.00,329.00,16.00,"625","NW"
"Downing, Brian","California",513.00,137.00,20.00,90.00,95.00,90.00,14.00,5201.00,1382.00,166.00,763.00,734.00,784.00,"American","West","LF",267.00,5.00,3.00,"900","AW"
"Duncan, Mariano","Los Angeles",407.00,93.00,8.00,47.00,30.00,30.00,2.00,969.00,230.00,14.00,121.00,69.00,68.00,"National","West","SS",172.00,317.00,25.00,"150","NW"
"Dunston, Shawon","Chicago",581.00,145.00,17.00,66.00,68.00,21.00,2.00,831.00,210.00,21.00,106.00,86.00,40.00,"National","East","SS",320.00,465.00,32.00,"155","NE"
"Durham, Leon","Chicago",484.00,127.00,20.00,66.00,65.00,67.00,7.00,3006.00,844.00,116.00,436.00,458.00,377.00,"National","East","1B",1231.00,80.00,7.00,"1183.333","NE"
"Dwyer, Jim","Baltimore",160.00,39.00,8.00,18.00,31.00,22.00,14.00,2128.00,543.00,56.00,304.00,268.00,298.00,"American","East","DO",33.00,3.00,0.00,"275","AE"
"Dykstra, Len","New York",431.00,127.00,8.00,77.00,45.00,58.00,2.00,667.00,187.00,9.00,117.00,64.00,88.00,"National","East","CF",283.00,8.00,3.00,"202.5","NE"
"Easler, Mike","New York",490.00,148.00,14.00,64.00,78.00,49.00,13.00,3400.00,1000.00,113.00,445.00,491.00,301.00,"American","East","DH",0.00,0.00,0.00,"700","AE"
"Esasky, Nick","Cincinnati",330.00,76.00,12.00,35.00,41.00,47.00,4.00,1367.00,326.00,55.00,167.00,198.00,167.00,"National","West","1B",512.00,30.00,5.00,"","NW"
"Evans, Darrell","Detroit",507.00,122.00,29.00,78.00,85.00,91.00,18.00,7761.00,1947.00,347.00,1175.00,1152.00,1380.00,"American","East","1B",808.00,108.00,2.00,"535","AE"
"Evans, Dwight","Boston",529.00,137.00,26.00,86.00,97.00,97.00,15.00,6661.00,1785.00,291.00,1082.00,949.00,989.00,"American","East","RF",280.00,10.00,5.00,"933.333","AE"
"Fernandez, Tony","Toronto",687.00,213.00,10.00,91.00,65.00,27.00,4.00,1518.00,448.00,15.00,196.00,137.00,89.00,"American","East","SS",294.00,445.00,13.00,"350","AE"
"Fisk, Carlton","Chicago",457.00,101.00,14.00,42.00,63.00,22.00,17.00,6521.00,1767.00,281.00,1003.00,977.00,619.00,"American","West","C",389.00,39.00,4.00,"875","AW"
"Fitzgerald, Mike","Montreal",209.00,59.00,6.00,20.00,37.00,27.00,4.00,884.00,209.00,14.00,66.00,106.00,92.00,"National","East","C",415.00,35.00,3.00,"","NE"
"Flannery, Tim","San Diego",368.00,103.00,3.00,48.00,28.00,54.00,8.00,1897.00,493.00,9.00,207.00,162.00,198.00,"National","West","2B",209.00,246.00,3.00,"326.667","NW"
"Fletcher, Scott","Texas",530.00,159.00,3.00,82.00,50.00,47.00,6.00,1619.00,426.00,11.00,218.00,149.00,163.00,"American","West","SS",196.00,354.00,15.00,"475","AW"
"Foley, Tom","Montreal",263.00,70.00,1.00,26.00,23.00,30.00,4.00,888.00,220.00,9.00,83.00,82.00,86.00,"National","East","UT",81.00,147.00,4.00,"250","NE"
"Ford, Curt","St Louis",214.00,53.00,2.00,30.00,29.00,23.00,2.00,226.00,59.00,2.00,32.00,32.00,27.00,"National","East","OF",109.00,7.00,3.00,"70","NE"
"Foster, George","New York",284.00,64.00,14.00,30.00,42.00,24.00,18.00,7023.00,1925.00,348.00,986.00,1239.00,666.00,"National","East","LF",96.00,4.00,4.00,"","NE"
"Franco, Julio","Cleveland",599.00,183.00,10.00,80.00,74.00,32.00,5.00,2482.00,715.00,27.00,330.00,326.00,158.00,"American","East","SS",231.00,374.00,18.00,"775","AE"
"Gaetti, Gary","Minneapolis",596.00,171.00,34.00,91.00,108.00,52.00,6.00,2862.00,728.00,107.00,361.00,401.00,224.00,"American","West","3B",118.00,334.00,21.00,"900","AW"
"Gagne, Greg","Minneapolis",472.00,118.00,12.00,63.00,54.00,30.00,4.00,793.00,187.00,14.00,102.00,80.00,50.00,"American","West","SS",228.00,377.00,26.00,"155","AW"
"Galarraga, Andres","Montreal",321.00,87.00,10.00,39.00,42.00,30.00,2.00,396.00,101.00,12.00,48.00,46.00,33.00,"National","East","1B",805.00,40.00,4.00,"91.5","NE"
"Gantner, Jim","Milwaukee",497.00,136.00,7.00,58.00,38.00,26.00,11.00,3871.00,1066.00,40.00,450.00,367.00,241.00,"American","East","2B",304.00,347.00,10.00,"850","AE"
"Garcia, Damaso","Toronto",424.00,119.00,6.00,57.00,46.00,13.00,9.00,3651.00,1046.00,32.00,461.00,301.00,112.00,"American","East","2B",224.00,286.00,8.00,"850","AE"
"Garner, Phil","Houston",313.00,83.00,9.00,43.00,41.00,30.00,14.00,5885.00,1543.00,104.00,751.00,714.00,535.00,"National","West","3B",58.00,141.00,23.00,"450","NW"
