"RespondentID","Lottery","smoke","alcohol","gamble","skydiving","drive_above_speed_limit","cheated","eat_steak","like_steak_prepared","Gender","Age","Household_Income","Education","Location"
3234760413.00,"Lottery B","Yes","Yes","Yes","No","Yes","No","Yes","Medium","Male","18-29","$0 - $24,999",,"Mountain"
3234760930.00,"Lottery A","No","Yes","Yes","No","Yes","Yes","No",,"Female","45-60","$50,000 - $99,999","Some college or Associate degree","Pacific"
3234761071.00,"Lottery A","Yes","Yes","Yes","No","Yes","No","Yes","Medium rare","Male","30-44","$50,000 - $99,999","Some college or Associate degree","South Atlantic"
3234761718.00,"Lottery A","No","Yes","No","Yes","Yes","No","No",,"Female","> 60","$50,000 - $99,999","Some college or Associate degree","Mountain"
3234761827.00,"Lottery B","No","No","No","No","Yes","No","Yes","Medium rare","Female","18-29","$25,000 - $49,999","High school degree","South Atlantic"
3234761877.00,"Lottery A","No","No","Yes","No","Yes","No","Yes","Medium Well","Male","30-44","$50,000 - $99,999","Graduate degree","Pacific"
3234761879.00,"Lottery B","No","Yes","No","No","Yes","No","Yes","Medium Well","Female","> 60","$100,000 - $149,999","Bachelor degree","West North Central"
3234762638.00,"Lottery A","No","Yes","Yes","No","Yes","No","Yes","Medium rare","Male","> 60","$50,000 - $99,999","Bachelor degree","Pacific"
3234762715.00,"Lottery B","No","No","No","No","Yes","No","No",,"Male","18-29","$50,000 - $99,999","Some college or Associate degree","West North Central"
3234763171.00,"Lottery A","No","Yes","Yes","No","Yes","No","Yes","Medium","Male","> 60",,"Graduate degree","Pacific"
3234763650.00,"Lottery A","No","No","No","No","Yes","No","No",,"Male","45-60","$100,000 - $149,999","Some college or Associate degree","South Atlantic"
3234763723.00,"Lottery A","No","Yes","Yes","No","Yes","No","Yes","Medium","Male","30-44","$100,000 - $149,999","Bachelor degree","South Atlantic"
3234764005.00,"Lottery B","Yes","Yes","Yes","No","Yes","No","Yes","Medium rare","Female","18-29","$50,000 - $99,999","Some college or Associate degree","Mountain"
3234764079.00,"Lottery A","No","Yes","No","No","Yes","Yes","No",,"Male","45-60","$50,000 - $99,999","Bachelor degree","West South Central"
3234764154.00,"Lottery B","No","Yes","No","No","Yes","No","Yes","Medium rare","Female","45-60",,"Some college or Associate degree","Pacific"
3234764452.00,"Lottery B","Yes","Yes","Yes","Yes","Yes","No","Yes","Medium Well","Male","45-60","$100,000 - $149,999","Some college or Associate degree","South Atlantic"
3234764807.00,"Lottery A","No","Yes","No","No","Yes","No","Yes","Medium rare","Male","> 60","$150,000+","Bachelor degree","Middle Atlantic"
3234765401.00,"Lottery A","No","No","No","No","No","No","No",,"Female","45-60","$25,000 - $49,999","High school degree","Pacific"
3234765572.00,"Lottery B","Yes","Yes","Yes","No","Yes","Yes","No",,"Female","30-44","$0 - $24,999","Graduate degree","Pacific"
3234765812.00,"Lottery A","No","Yes","No","No","Yes","No","Yes","Medium Well","Male","> 60","$150,000+","Graduate degree","Pacific"
3234766097.00,"Lottery A","No","No","Yes","No","Yes","No","Yes","Well","Female","30-44",,"Some college or Associate degree","East South Central"
3234766329.00,"Lottery B","Yes","No","Yes","No","Yes","Yes","No",,"Female","30-44","$25,000 - $49,999","Bachelor degree","Middle Atlantic"
3234766450.00,"Lottery B","Yes","Yes","Yes","Yes","Yes","No","No",,"Female","30-44","$0 - $24,999","Some college or Associate degree","Pacific"
3234767012.00,"Lottery B","No","Yes","No","No","No","Yes","Yes","Well","Male","30-44","$0 - $24,999","Some college or Associate degree","East North Central"
3234767721.00,"Lottery A","Yes","Yes","Yes","No","Yes","No","Yes","Medium","Female","30-44","$50,000 - $99,999","Some college or Associate degree","South Atlantic"
3234768064.00,"Lottery B","No","Yes","Yes","No","Yes","No","Yes","Medium rare","Female","30-44","$100,000 - $149,999","Graduate degree","East North Central"
3234768304.00,"Lottery B","No","Yes","Yes",,"Yes","Yes","No",,"Female","30-44","$50,000 - $99,999","Some college or Associate degree","West South Central"
3234768724.00,"Lottery A","No","Yes","Yes","No","Yes","No","No",,"Female","18-29",,"Bachelor degree","East North Central"
3234769677.00,"Lottery A","No","No","Yes","No","Yes","No","Yes","Medium Well","Female","30-44","$0 - $24,999","Some college or Associate degree","West South Central"
3234769753.00,"Lottery A","No","Yes","Yes","No","Yes","No","Yes","Medium","Female","30-44","$50,000 - $99,999","Some college or Associate degree","New England"
3234770752.00,"Lottery B",,"No","No","No","No","No","Yes","Well","Male","45-60","$50,000 - $99,999","Bachelor degree","South Atlantic"
3234770881.00,"Lottery B",,,,,,,,,,,,,
3234770901.00,"Lottery A","No","Yes","Yes","No","Yes","No","Yes","Medium","Female","45-60","$150,000+","Graduate degree","Mountain"
3234771246.00,"Lottery A","No","Yes","Yes","No","Yes","Yes","Yes","Medium Well","Male","30-44","$50,000 - $99,999","Graduate degree","East North Central"
3234771796.00,"Lottery A","No","No","No","No","Yes","No","No",,"Female","18-29","$100,000 - $149,999","Bachelor degree","Pacific"
3234771955.00,"Lottery A","No","No","No","No","Yes","No","Yes","Medium","Female","> 60","$50,000 - $99,999","Some college or Associate degree","New England"
3234772281.00,"Lottery B","No","Yes","Yes","No","Yes","No","Yes","Medium rare","Male","30-44","$100,000 - $149,999","Bachelor degree","South Atlantic"
3234772571.00,"Lottery B","Yes","Yes","Yes","No","Yes","No","Yes","Medium rare","Male","45-60",,"High school degree","Mountain"
3234772936.00,"Lottery A","No","Yes","No","No","Yes","No","Yes","Medium","Male","> 60","$50,000 - $99,999","Graduate degree","Pacific"
3234773000.00,"Lottery A","No","Yes","Yes","No","Yes","Yes","Yes","Medium Well",,,,,
3234773444.00,"Lottery A","No","No","No","No","No","No","Yes","Medium rare","Male","30-44","$50,000 - $99,999","Graduate degree","West North Central"
3234774090.00,"Lottery A",,,,,,,,,,,,,
3234774218.00,"Lottery A","No","Yes","No","No","Yes","Yes","Yes","Medium rare","Female","30-44","$50,000 - $99,999","Some college or Associate degree","Mountain"
3234774379.00,"Lottery B","No","Yes","No","No","Yes","No","Yes","Medium rare","Female","> 60",,"Graduate degree","New England"
3234774532.00,"Lottery A","No","No","Yes","No","Yes","No","No",,"Female","45-60","$50,000 - $99,999","Some college or Associate degree","Pacific"
3234774687.00,"Lottery B","No","Yes","No","No","Yes","Yes","Yes","Medium rare","Male","18-29","$25,000 - $49,999","High school degree","South Atlantic"
3234775020.00,"Lottery A","Yes","Yes","Yes","No","Yes","No","No",,"Male","> 60","$50,000 - $99,999","Some college or Associate degree","East North Central"
3234775052.00,"Lottery B","Yes","Yes","No","No","Yes","No","Yes","Medium rare","Male","18-29","$0 - $24,999","Some college or Associate degree","East North Central"
3234775250.00,"Lottery A","No","Yes","Yes","No","Yes","No","No",,"Female","18-29",,"Some college or Associate degree","West North Central"
3234775647.00,"Lottery B",,,,,,,,,,,,,
3234775816.00,"Lottery A","Yes","No","No","No","No","No","Yes","Medium Well","Female","45-60","$25,000 - $49,999","Some college or Associate degree","Mountain"
3234775831.00,"Lottery A","No","Yes","Yes","No","Yes","No",,"Well","Female","> 60","$100,000 - $149,999","Bachelor degree","East South Central"
3234776702.00,"Lottery B","No","No","No","No","No","No","Yes","Medium rare","Female","> 60","$50,000 - $99,999","Graduate degree","Mountain"
3234776815.00,"Lottery A","Yes","Yes","No","No","Yes","No","Yes","Medium","Female","45-60","$150,000+","Bachelor degree","New England"
3234776895.00,"Lottery B","No","No","No","No","No","No","Yes","Medium rare","Female","45-60","$0 - $24,999","Some college or Associate degree","West South Central"
3234777247.00,"Lottery B","No","Yes","Yes","Yes","Yes","No","Yes","Medium","Male","45-60","$0 - $24,999","Bachelor degree","Pacific"
3234777660.00,"Lottery B","No","Yes","No","No","Yes","No","Yes","Medium","Female","18-29","$0 - $24,999","Some college or Associate degree","New England"
3234777834.00,"Lottery B","No","Yes","No","Yes","Yes","No","No",,"Female","30-44","$150,000+","Graduate degree","New England"
3234778061.00,"Lottery A","No","Yes","Yes","No","Yes","Yes","Yes","Medium Well","Male","45-60",,"Graduate degree","West South Central"
3234778201.00,"Lottery A","No","Yes","Yes","No","Yes","No","Yes","Medium Well","Male","18-29","$50,000 - $99,999","Some college or Associate degree","Middle Atlantic"
3234778259.00,"Lottery A","No","Yes","No","No","Yes","No","Yes","Medium","Female","18-29",,"Some college or Associate degree","East North Central"
3234778299.00,"Lottery B","No","Yes","No","Yes","Yes","Yes","Yes","Medium Well","Male","45-60","$150,000+","Bachelor degree","South Atlantic"
3234778457.00,"Lottery A","No","Yes","No","No","Yes","No","No",,"Female","30-44","$25,000 - $49,999","Bachelor degree","East South Central"
3234778651.00,"Lottery A","No","Yes","No","No","Yes","No","Yes","Rare","Male","> 60","$150,000+","Graduate degree","South Atlantic"
3234778653.00,"Lottery A","Yes","Yes","Yes","No","Yes","No","Yes","Medium","Female","45-60","$100,000 - $149,999","Some college or Associate degree","Pacific"
3234778878.00,"Lottery A","Yes","Yes","No","No","Yes","No","Yes","Medium rare","Male","30-44","$50,000 - $99,999","Some college or Associate degree","East North Central"
3234779361.00,"Lottery B","No","No","No","No","Yes","No","Yes","Medium Well","Male","> 60","$100,000 - $149,999","Graduate degree","East South Central"
3234779450.00,"Lottery B","Yes","Yes","No","No","Yes","No","Yes","Medium","Male","18-29","$0 - $24,999","Some college or Associate degree","Pacific"
3234779739.00,"Lottery A","No","Yes","No","No","No","No","No",,"Male","45-60","$25,000 - $49,999","High school degree","West South Central"
3234780238.00,"Lottery A","No","Yes","No","No","Yes","Yes","Yes","Medium rare","Female","30-44",,"Graduate degree","New England"
3234780649.00,"Lottery A","No","Yes","No","No","Yes","No","Yes","Medium","Male","18-29","$25,000 - $49,999","Graduate degree","West North Central"
3234780665.00,"Lottery B","No","Yes","Yes","No","Yes","No","Yes","Medium","Male","30-44","$100,000 - $149,999","Graduate degree","Middle Atlantic"
3234780977.00,"Lottery A","Yes","Yes","Yes","No","Yes","No","Yes","Medium rare","Female","30-44",,"Some college or Associate degree","Pacific"
3234781338.00,"Lottery A",,,,,,,,,,,,,
3234781534.00,"Lottery A","No","No","Yes","No","Yes","No","Yes","Medium rare","Female","18-29","$25,000 - $49,999","Graduate degree","South Atlantic"
3234781654.00,"Lottery B","No","No","No","No","Yes","No","Yes","Medium rare","Female","45-60","$25,000 - $49,999","High school degree","Pacific"
3234781837.00,"Lottery A","No","Yes","Yes","No","Yes","No","No",,"Female","30-44","$25,000 - $49,999","Bachelor degree","West South Central"
3234781892.00,"Lottery B","No","Yes","Yes","No","Yes","No","Yes","Medium rare","Female","45-60",,"Graduate degree","South Atlantic"
3234782029.00,"Lottery B","No","Yes","No","No","Yes","No","Yes","Medium","Female","18-29","$0 - $24,999","Bachelor degree","Mountain"
3234782381.00,"Lottery A","Yes","Yes","Yes","No","Yes","No","No",,"Female","18-29","$25,000 - $49,999","Some college or Associate degree","East North Central"
3234782700.00,"Lottery A","No","Yes","Yes","No","Yes","No","Yes","Medium rare","Male","45-60","$150,000+","Graduate degree","Pacific"
3234782863.00,"Lottery A","Yes","No","No","No","Yes","No","Yes","Medium rare","Female","45-60","$0 - $24,999","Bachelor degree","South Atlantic"
3234782874.00,"Lottery A",,"No","Yes","No","Yes","No","Yes","Medium","Female","45-60",,"Bachelor degree","New England"
3234783141.00,"Lottery B","No","Yes","Yes","No","Yes","Yes","Yes","Medium","Female","30-44","$50,000 - $99,999","Bachelor degree","East North Central"
3234784673.00,"Lottery B","No","Yes","No","No","Yes","No","Yes","Rare","Female","18-29","$50,000 - $99,999","Bachelor degree","New England"
3234784700.00,"Lottery B","No","Yes","No","No","Yes","No","Yes","Medium rare","Female","> 60","$50,000 - $99,999","Graduate degree","East North Central"
3234784794.00,"Lottery A","No","No","No","No","Yes","Yes","Yes","Medium","Female","45-60",,"Graduate degree","Middle Atlantic"
3234785000.00,"Lottery B","No","Yes","No","Yes","Yes","No","Yes","Medium","Female","30-44","$100,000 - $149,999","Graduate degree","West North Central"
3234785058.00,"Lottery B","Yes","Yes","Yes","No","Yes","Yes","Yes","Medium rare","Male","30-44","$100,000 - $149,999","Bachelor degree","South Atlantic"
3234785120.00,"Lottery B","Yes","Yes","Yes","No","Yes","No","Yes","Rare","Male","18-29","$25,000 - $49,999","Some college or Associate degree","West North Central"
3234785571.00,"Lottery B","No","No","No","No","Yes","Yes","Yes","Medium","Female","45-60","$50,000 - $99,999","Graduate degree","Pacific"
3234785579.00,"Lottery A","No","No","No","No","No","No","Yes","Medium rare","Female","18-29","$25,000 - $49,999","Some college or Associate degree","Middle Atlantic"
3234785679.00,"Lottery A","No","No","Yes","No","No","No","Yes","Medium","Female","> 60","$50,000 - $99,999","High school degree","Mountain"
3234785906.00,"Lottery A","No","Yes","Yes","No","Yes","No","Yes","Medium rare","Male","45-60","$100,000 - $149,999","Bachelor degree","West North Central"
3234786043.00,"Lottery A","No","Yes","Yes","No","Yes","No","Yes","Medium rare","Female","45-60","$100,000 - $149,999","Some college or Associate degree","East North Central"
3234786242.00,"Lottery A","No","Yes","Yes","No","Yes","No","No",,"Female","45-60","$150,000+","Graduate degree","East North Central"
3234786675.00,"Lottery B","Yes","Yes","Yes","No","Yes","No","Yes","Medium Well","Male","> 60","$0 - $24,999","Bachelor degree","Pacific"
3234787013.00,"Lottery A","No","No","Yes","No","Yes","Yes","Yes","Medium","Male","45-60","$100,000 - $149,999","Bachelor degree","West South Central"
3234787056.00,"Lottery A","No","Yes","Yes","No","Yes","No","Yes","Medium","Female","> 60",,"Graduate degree","New England"
3234787469.00,"Lottery B","No","Yes","Yes","No","Yes","No","Yes","Medium rare","Male","30-44","$50,000 - $99,999","Some college or Associate degree","South Atlantic"
3234787566.00,"Lottery B","No","Yes","No","No","Yes","No","Yes","Medium rare","Female","30-44","$50,000 - $99,999","Bachelor degree","South Atlantic"
3234787811.00,"Lottery A","No","Yes","Yes","No","Yes","No","Yes","Medium rare",,,,,
3234788829.00,"Lottery A","Yes","Yes","Yes","No","Yes","No","Yes","Rare",,,,,
3234788903.00,"Lottery A","Yes","Yes","Yes","No","Yes","No","Yes","Medium rare","Male","45-60","$100,000 - $149,999","Bachelor degree","East South Central"
3234789052.00,"Lottery A","No","Yes","No","No","Yes","Yes","Yes","Rare","Female","45-60","$50,000 - $99,999","Graduate degree","West North Central"
3234789070.00,"Lottery B","No","Yes","No","No","Yes","No","Yes","Medium rare","Female","> 60","$50,000 - $99,999","Graduate degree","West South Central"
3234789316.00,"Lottery A","No","No","No","No","Yes","No","No",,"Female","> 60","$50,000 - $99,999","Graduate degree","West South Central"
3234789350.00,"Lottery B","No","Yes","No","No","Yes","No","Yes","Medium rare","Female","30-44","$50,000 - $99,999","Some college or Associate degree","Pacific"
3234789415.00,"Lottery B","No","Yes","Yes","No",,"No","Yes","Well","Female","45-60","$150,000+","High school degree","Middle Atlantic"
3234789421.00,"Lottery B","No","Yes","Yes","No","Yes","No","Yes","Well","Female","45-60",,"Some college or Associate degree","Mountain"
3234790686.00,"Lottery A","No","Yes","No","No","Yes","No","Yes","Medium rare","Male","18-29","$100,000 - $149,999","Bachelor degree","Pacific"
3234790735.00,"Lottery A","No","Yes","Yes","No","Yes","No","Yes","Medium","Male","45-60","$150,000+","Graduate degree","East North Central"
3234791190.00,"Lottery B","No","Yes","Yes","No","Yes","No","Yes","Well","Male","30-44",,"Bachelor degree","East North Central"
3234791193.00,"Lottery B","No","Yes","No","No","Yes","No","Yes","Medium rare","Male","45-60","$100,000 - $149,999","Bachelor degree","Pacific"
3234791203.00,"Lottery B","Yes","Yes","Yes","No","No","Yes","Yes","Medium rare","Female","30-44","$50,000 - $99,999","Graduate degree","Mountain"
3234791290.00,"Lottery A","No","No","No","No","Yes","No","Yes","Medium","Female","18-29",,"High school degree","West North Central"
3234792668.00,"Lottery B","No","Yes","No","No","Yes","No","Yes","Medium Well","Female","18-29",,"Bachelor degree","East North Central"
3234792864.00,"Lottery B","No","Yes","No","No","Yes","No","Yes","Well","Female","> 60","$50,000 - $99,999","Bachelor degree","Mountain"
3234793005.00,"Lottery A","No","Yes","Yes","No","Yes","No","Yes","Medium Well","Female","45-60","$25,000 - $49,999","Some college or Associate degree","Mountain"
3234793032.00,"Lottery B","Yes","Yes","No","No","No","No","Yes","Medium Well","Male","18-29","$0 - $24,999","Bachelor degree","East North Central"
3234793110.00,"Lottery A","No","Yes","No","No","Yes","Yes","Yes","Medium",,,,,
3234793325.00,"Lottery A","No","No","No","No","No","No","No",,"Male","30-44","$50,000 - $99,999","Bachelor degree","Pacific"
3234794312.00,"Lottery A","No","Yes","Yes","No","Yes","No","Yes","Well","Male","30-44","$50,000 - $99,999","Some college or Associate degree","Middle Atlantic"
3234794335.00,"Lottery B","No","No","Yes","No","No","Yes","No",,"Female","18-29","$25,000 - $49,999","Bachelor degree","Middle Atlantic"
3234794417.00,"Lottery A","Yes","Yes","Yes","No","Yes","No","Yes","Medium rare","Female","18-29","$50,000 - $99,999","Some college or Associate degree","West South Central"
3234794766.00,"Lottery B","No","Yes","Yes","No","Yes","No","Yes","Medium","Female","> 60","$50,000 - $99,999","Graduate degree","East North Central"
3234795992.00,"Lottery B","No","Yes","No","No","Yes","No","Yes","Medium rare","Male","> 60","$50,000 - $99,999","Graduate degree","Pacific"
3234796052.00,"Lottery B","No","No","No","No","Yes","No","Yes","Well","Female","30-44",,"Graduate degree","Middle Atlantic"
3234796064.00,"Lottery B","No","Yes","No","No","Yes","No","No",,"Male","> 60",,"Bachelor degree","South Atlantic"
3234796591.00,"Lottery A","No","No","Yes","No","Yes","No","Yes","Medium rare","Female","> 60","$50,000 - $99,999","Bachelor degree","South Atlantic"
3234796655.00,"Lottery B","No","Yes","No","No","No","No","No",,"Female","45-60",,"Some college or Associate degree","East North Central"
3234797221.00,"Lottery B","No","No","No","No","Yes","No","No",,"Male","45-60","$50,000 - $99,999","Bachelor degree","South Atlantic"
3234797258.00,"Lottery A","No","No","No","No","Yes","No","Yes","Medium rare","Female","18-29","$25,000 - $49,999","High school degree","East South Central"
3234797602.00,"Lottery B","No","No","No","No","Yes","No","Yes","Medium rare","Female","> 60",,"Some college or Associate degree","Pacific"
3234798094.00,"Lottery B","No","Yes","Yes","No","Yes","No","Yes","Medium","Female","45-60","$50,000 - $99,999","Graduate degree","Pacific"
3234798959.00,"Lottery B","No","No","No","No","Yes","No","No",,"Male","30-44","$0 - $24,999","Bachelor degree","Mountain"
3234799316.00,"Lottery A","No","Yes","No","No","Yes","Yes","Yes","Medium","Female","30-44","$150,000+","Bachelor degree","Mountain"
3234799491.00,"Lottery A","No","Yes","No","No","No","No","No",,"Female","45-60","$50,000 - $99,999","Graduate degree","South Atlantic"
3234800702.00,"Lottery A","No","Yes","Yes","No","Yes","No","Yes","Medium rare","Male","45-60","$50,000 - $99,999","Graduate degree","South Atlantic"
3234801446.00,"Lottery A","Yes","Yes","Yes","No","Yes","Yes","Yes","Medium","Male","45-60","$50,000 - $99,999","Bachelor degree","Mountain"
3234801517.00,"Lottery B","Yes","Yes","No","No","Yes","No","Yes","Medium Well","Female","30-44","$100,000 - $149,999","Graduate degree","Middle Atlantic"
3234801820.00,"Lottery A","No","Yes","Yes","No","Yes","No","Yes","Medium Well","Female","> 60","$50,000 - $99,999","Some college or Associate degree","Pacific"
3234801990.00,"Lottery A","No","Yes","Yes","No","Yes","No","No",,"Female","30-44","$150,000+","Graduate degree","Middle Atlantic"
3234802032.00,"Lottery A","No","Yes","Yes","No","Yes","No","Yes","Medium rare","Female","45-60","$50,000 - $99,999","Bachelor degree","East North Central"
3234802671.00,"Lottery B","No","Yes","Yes","No","Yes","No","Yes","Medium","Female","> 60","$50,000 - $99,999","Graduate degree","New England"
3234802714.00,"Lottery B","No","Yes","Yes","No","Yes","No","Yes","Medium rare","Male","> 60","$50,000 - $99,999","Bachelor degree","Middle Atlantic"
3234802862.00,"Lottery A","No","No","Yes","No","Yes","No","No",,"Male","18-29",,"Bachelor degree","South Atlantic"
3234803379.00,"Lottery B","No","Yes","Yes","No","Yes","Yes","Yes","Medium","Female","> 60","$50,000 - $99,999","Some college or Associate degree","South Atlantic"
3234803474.00,"Lottery A","No","Yes","Yes","No","Yes","No","Yes","Medium","Male","> 60","$150,000+","Some college or Associate degree","South Atlantic"
3234803528.00,"Lottery B","No","Yes","Yes","No","Yes","No","Yes","Well","Female","> 60",,"Graduate degree","East North Central"
3234803552.00,"Lottery B","No","Yes","Yes","No","Yes","Yes","Yes","Medium","Female","30-44","$25,000 - $49,999","Some college or Associate degree","Pacific"
3234803688.00,"Lottery B","No","Yes","No","No","Yes","Yes","Yes","Medium Well","Female","30-44","$50,000 - $99,999","Graduate degree","East North Central"
3234803833.00,"Lottery B","No","Yes","Yes","No","Yes","No","Yes","Medium rare","Female","45-60","$100,000 - $149,999","Graduate degree","South Atlantic"
3234803960.00,"Lottery B","No","No","No","No","Yes","No","Yes","Medium","Female","30-44","$50,000 - $99,999","Bachelor degree","West South Central"
3234804414.00,"Lottery B","No","Yes","No","No","Yes","Yes","Yes","Medium Well","Female","30-44","$25,000 - $49,999","Some college or Associate degree","South Atlantic"
3234804474.00,"Lottery B","No","No","No","Yes","Yes","No","Yes","Rare","Female","45-60","$50,000 - $99,999","Bachelor degree","South Atlantic"
3234804543.00,"Lottery B","No","Yes","No","No","Yes","Yes","No",,"Male","18-29","$0 - $24,999","Some college or Associate degree","West North Central"
3234805086.00,"Lottery B","No","Yes","No","No","Yes","Yes","Yes","Medium Well",,,,,
3234805307.00,"Lottery A","No","Yes","No","No","Yes","No","Yes","Medium Well","Female","18-29","$50,000 - $99,999","Bachelor degree","East North Central"
3234806468.00,"Lottery B","No","Yes","Yes","No","Yes","No","No",,"Female","45-60","$150,000+","Graduate degree","Pacific"
3234807193.00,"Lottery A","No","Yes","Yes","No","Yes","Yes","Yes","Medium rare","Female","45-60",,"Graduate degree","East North Central"
3234807325.00,"Lottery A","No","Yes","Yes","Yes","Yes","No","Yes","Medium rare","Male","30-44","$100,000 - $149,999","Bachelor degree","East North Central"
3234807362.00,"Lottery A","No","No","Yes","Yes","Yes","No","Yes","Medium","Male","> 60","$50,000 - $99,999","Bachelor degree","Middle Atlantic"
3234807540.00,"Lottery B","No","Yes","Yes","No","Yes","No","Yes","Medium rare","Female","45-60","$100,000 - $149,999","Bachelor degree","South Atlantic"
3234807795.00,"Lottery A","No","Yes","Yes","No","Yes","No","Yes","Medium","Female","30-44","$100,000 - $149,999","Graduate degree","Middle Atlantic"
3234807851.00,"Lottery B","No","Yes","No","No","Yes","No","Yes","Medium Well","Female","30-44","$25,000 - $49,999","Bachelor degree","South Atlantic"
3234808432.00,"Lottery B","No","Yes","No","No","Yes","Yes","Yes","Medium","Male","30-44","$50,000 - $99,999","Some college or Associate degree","East North Central"
3234808857.00,"Lottery B","No","Yes","Yes","No","Yes","No","Yes","Medium rare",,,,,
3234808864.00,"Lottery A","No","Yes","No","No","Yes","No","No",,"Male","30-44",,"Bachelor degree","East North Central"
3234809084.00,"Lottery B","No","Yes","No","No","Yes","No","Yes","Medium","Female","45-60","$100,000 - $149,999","Some college or Associate degree","Mountain"
3234810109.00,"Lottery A","No","Yes","Yes","No","Yes","No","Yes","Medium rare","Female","> 60","$50,000 - $99,999","Graduate degree","South Atlantic"
3234810549.00,"Lottery A","No","No","No","No","Yes","Yes","Yes","Medium rare","Male","30-44","$100,000 - $149,999","Some college or Associate degree","Middle Atlantic"
3234810697.00,"Lottery A","Yes","Yes","Yes","No","Yes","No","Yes","Medium","Male","45-60","$100,000 - $149,999","Bachelor degree","East North Central"
3234810955.00,"Lottery A","No","Yes","Yes","No","Yes","No","Yes","Medium",,,,,
3234811715.00,"Lottery B","No","No","No","No","No","No","Yes","Medium rare","Female","> 60",,"Some college or Associate degree","South Atlantic"
3234811839.00,"Lottery A","No","No","No","No","Yes","No","Yes","Medium rare","Male","> 60","$50,000 - $99,999","Bachelor degree","New England"
3234811984.00,"Lottery A","Yes","Yes","Yes","No","Yes","No","Yes","Medium rare","Female","45-60",,"Bachelor degree","Mountain"
3234812630.00,"Lottery A","No","Yes","No","Yes","Yes","No","Yes","Well","Female","30-44",,"Some college or Associate degree","Mountain"
3234813021.00,"Lottery A","No","Yes","No","No","Yes","No","No",,"Female","30-44","$50,000 - $99,999","Graduate degree","Pacific"
3234813345.00,"Lottery B","No","Yes","Yes","No","Yes","No","Yes","Medium rare","Female","> 60","$50,000 - $99,999","Graduate degree","New England"
3234813465.00,"Lottery A","No","Yes","Yes","No","Yes","No","Yes","Medium","Female","45-60","$150,000+","Bachelor degree","Middle Atlantic"
3234813682.00,"Lottery A","No","Yes","No","No","No","No","Yes","Medium","Female","18-29","$0 - $24,999","Some college or Associate degree","Pacific"
